state,year,population_2011,district_count,total_cases,cases_per_100k,total_cases_lag1,total_cases_lag2,total_cases_lag3,total_deaths_lag1,cases_per_100k_lag1,cases_per_100k_lag2,cases_per_100k_lag3,deaths_per_100k_lag1,cases_rate_roll3,cases_yoy_change,rate_yoy_change,next_year_cases,next_year_rate,high_risk_next_year,selected_region
Andaman And Nicobar Islands,2003,380581,1,427,112.19687793137334,1557,434,1990,4,409.11133241018337,114.03617101221555,522.8847472679929,1.0510246176241063,348.67741689679724,-0.7257546563904945,-0.7257546563904946,1800,472.96107793084786,1,no
Andaman And Nicobar Islands,2004,380581,4,1800,472.96107793084786,427,1557,434,0,112.19687793137334,409.11133241018337,114.03617101221555,0.0,211.78146045125743,3.2154566744730677,3.215456674473068,3234,849.7534033490898,1,no
Andaman And Nicobar Islands,2005,380581,1,3234,849.7534033490898,1800,427,1557,4,472.96107793084786,112.19687793137334,409.11133241018337,1.0510246176241063,331.4230960908015,0.7966666666666666,0.7966666666666663,18866,4957.157609024097,1,no
Andaman And Nicobar Islands,2006,380581,7,18866,4957.157609024097,3234,1800,427,0,849.7534033490898,472.96107793084786,112.19687793137334,0.0,478.30378640377035,4.833642547928262,4.833642547928262,29938,7866.393750607624,1,no
Andaman And Nicobar Islands,2008,380581,8,29938,7866.393750607624,18866,3234,1800,22,4957.157609024097,849.7534033490898,472.96107793084786,5.780635396932585,2093.2906967680115,0.5868758613378564,0.5868758613378566,22081,5801.918645439473,1,no
Andaman And Nicobar Islands,2010,380581,8,22081,5801.918645439473,29938,18866,3234,46,7866.393750607624,4957.157609024097,849.7534033490898,12.086783102677222,4557.768254326937,-0.26244238092056915,-0.26244238092056915,15370,4038.562093220628,1,no
Andaman And Nicobar Islands,2012,380581,9,15370,4038.562093220628,22081,29938,18866,20,5801.918645439473,7866.393750607624,4957.157609024097,5.2551230881205315,6208.4900016903985,-0.3039264526063131,-0.30392645260631324,8955,2352.981362705968,1,no
Andaman And Nicobar Islands,2014,380581,8,8955,2352.981362705968,15370,22081,29938,3,4038.562093220628,5801.918645439473,7866.393750607624,0.7882684632180796,5902.291496422575,-0.4173715029277814,-0.4173715029277813,6576,1727.884471374031,1,no
Andaman And Nicobar Islands,2016,380581,8,6576,1727.884471374031,8955,15370,22081,5,2352.981362705968,4038.562093220628,5801.918645439473,1.3137807720301329,4064.487367122023,-0.26566164154103855,-0.26566164154103844,4839,1271.4770311707625,1,no
Andaman And Nicobar Islands,2018,380581,8,4839,1271.4770311707625,6576,8955,15370,8,1727.884471374031,2352.981362705968,4038.562093220628,2.1020492352482125,2706.4759757668758,-0.2641423357664234,-0.2641423357664235,301,79.089602476214,0,no
