year,state,total_cases,total_deaths,district_count,population_2011,cases_per_100k,deaths_per_100k,selected_region
2000,Mizoram,9059,33,4,1097206,825.6425867157125,3.007639404086379,yes
2000,Odisha,509497,467,30,41974218,1213.8332154276227,1.1125877318310016,yes
2000,Tripura,12245,6,4,3673917,333.2954990545513,0.1633134335914502,yes
2001,Mizoram,10929,43,5,1097206,996.0754862806074,3.919045284112555,yes
2001,Odisha,454541,305,30,41974218,1082.9052252980628,0.7266365272129668,yes
2001,Tripura,18502,9,4,3673917,503.60419138483536,0.24497015038717532,yes
2002,Mizoram,7859,35,9,1097206,716.2738811125713,3.1899205800916146,yes
2002,Odisha,473223,465,30,41974218,1127.4134994009896,1.1078229021443593,yes
2002,Tripura,13319,5,4,3673917,362.5286036674209,0.13609452799287516,yes
2003,Mizoram,7293,48,9,1097206,664.6883083030898,4.374748224125643,yes
2003,Odisha,421323,333,30,41974218,1003.766169032619,0.7933441428259603,yes
2003,Tripura,13807,13,4,3673917,375.8114295995255,0.3538457727814755,yes
2004,Mizoram,7830,72,9,1097206,713.6308040604954,6.562122336188464,yes
2004,Odisha,416732,283,30,41974218,992.8285024869314,0.6742234006599004,yes
2004,Tripura,17453,16,4,3673917,475.0515594119301,0.43550248957720056,yes
2005,Mizoram,10741,74,9,1097206,978.9410557361152,6.744403512193699,yes
2005,Odisha,396573,255,30,41974218,944.8014016604193,0.6075157850469066,yes
2005,Tripura,18008,20,4,3673917,490.15805201913923,0.5443781119715007,yes
2006,Mizoram,10668,120,9,1097206,972.2877928119241,10.936870560314107,yes
2006,Odisha,380216,257,30,41974218,905.8322420682144,0.6122806147335491,yes
2006,Tripura,23717,31,6,3673917,645.5507840814041,0.8437860735558261,yes
2007,Mizoram,6081,75,9,1097206,554.2259156439173,6.835544100196317,yes
2007,Odisha,371879,221,30,41974218,885.9700495194455,0.5265136803739857,yes
2007,Tripura,18694,51,6,3673917,508.8302212597617,1.3881641855273268,yes
2008,Mizoram,7361,91,9,1097206,670.8858682872678,8.293793508238197,yes
2008,Odisha,375430,239,30,41974218,894.430004628079,0.5693971475537675,yes
2008,Tripura,26126,51,6,3673917,711.1211276683714,1.3881641855273268,yes
2009,Mizoram,9399,119,9,1097206,856.6303866366025,10.845729972311489,yes
2009,Odisha,380904,198,30,41974218,907.4713434804193,0.47171813897759807,yes
2009,Tripura,24613,62,6,3673917,669.9389234977274,1.6875721471116523,yes
2010,Mizoram,15594,31,9,1097206,1421.246329312818,2.8253582280811442,yes
2010,Odisha,395651,247,30,41974218,942.6048151748771,0.588456466300337,yes
2010,Tripura,24108,15,6,3673917,656.193376170447,0.4082835839786255,yes
2011,Mizoram,8861,30,9,1097206,807.5967502911941,2.7342176400785267,yes
2011,Odisha,308968,99,30,41974218,736.0899493112653,0.23585906948879903,yes
2011,Tripura,14583,12,6,3673917,396.9333003440197,0.3266268671829004,yes
2012,Mizoram,9883,25,9,1097206,900.7424312298693,2.278514700065439,yes
2012,Odisha,262842,79,30,41974218,626.1986822482315,0.18821077262237498,yes
2012,Tripura,11708,7,6,3673917,318.6789467481165,0.19053233919002524,yes
2013,Mizoram,11747,21,9,1097206,1070.6284872667486,1.9139523480549687,yes
2013,Odisha,228858,67,30,41974218,545.2346962128038,0.15962179450252056,yes
2013,Tripura,7560,7,10,3673917,205.77492632522726,0.19053233919002524,yes
2014,Mizoram,23145,31,9,1097206,2109.4489093205834,2.8253582280811442,yes
2014,Odisha,395035,89,30,41974218,941.1372476313913,0.21203492105558702,yes
2014,Tripura,29064,42,6,3673917,791.0902723169847,1.1431940351401515,yes
2015,Mizoram,28593,21,9,1097206,2605.982832758844,1.9139523480549687,yes
2015,Odisha,436850,80,30,41974218,1040.7579243048674,0.1905931874656962,yes
2015,Tripura,21509,8,6,3673917,585.4514405197505,0.21775124478860028,yes
2016,Mizoram,7583,9,9,1097206,691.1190788238489,0.820265292023558,yes
2016,Odisha,444843,77,30,41974218,1059.8005661475338,0.1834459429357326,yes
2016,Tripura,5104,6,6,3673917,138.92529417512696,0.1633134335914502,yes
2017,Mizoram,5715,4,9,1097206,520.8684604349594,0.3645623520104702,yes
2017,Odisha,347860,24,30,41974218,828.7468273977136,0.05717795623970886,yes
2017,Tripura,7692,6,12,3673917,209.36782186423918,0.1633134335914502,yes
2018,Mizoram,4296,3,9,1097206,391.53996605924505,0.2734217640078527,yes
2018,Odisha,66311,3,30,41974218,157.98031067547225,0.007147244529963607,yes
2018,Tripura,13823,13,12,3673917,376.24693208910276,0.3538457727814755,yes
2019,Mizoram,8543,8,9,1097206,778.6140433063619,0.7291247040209404,yes
2019,Odisha,39556,9,30,41974218,94.23880154241348,0.021441733589890825,yes
2019,Tripura,13322,1,12,3673917,362.61026038421664,0.027218905598575035,yes
2020,Mizoram,7748,6,7,1097206,706.1572758442808,0.5468435280157053,yes
2020,Odisha,39884,6,28,41974218,95.02023361102285,0.014294489059927215,yes
2020,Tripura,3395,2,8,3673917,92.40818450716225,0.05443781119715007,yes
2021,Mizoram,7457,7,5,1097206,679.6353647355191,0.6379841160183229,yes
2021,Odisha,24108,8,26,41974218,57.43525704278755,0.01905931874656962,yes
2021,Tripura,1862,1,6,3673917,50.681602224546715,0.027218905598575035,yes
2022,Mizoram,11100,9,7,1097206,1011.6605268290549,0.820265292023558,yes
2022,Odisha,22590,4,28,41974218,53.81875131062596,0.00952965937328481,yes
2022,Tripura,12771,3,8,3673917,347.6126433994018,0.0816567167957251,yes
2023,Mizoram,18000,12,7,1097206,1640.530584047116,1.0936870560314107,yes
2023,Odisha,40300,1,28,41974218,96.01131818584446,0.0023824148433212026,yes
2023,Tripura,22412,1,8,3673917,610.0301122752637,0.027218905598575035,yes
2024,Mizoram,4308,0,9,1097206,392.6336531152764,0.0,yes
2024,Odisha,8742,0,28,41974218,20.827070560313953,0.0,yes
2024,Tripura,1662,0,8,3673917,45.23782110483171,0.0,yes
